biomass_loading,particle_size,time,glucose,xylose
10,<0.5 mm,20.47976522928395,24.66266470874292,9.962683593431121
10,<0.5 mm,10.863758894792916,26.423039199382064,8.881616187638118
10,<0.5 mm,4.905717749015308,21.1,7.2
10,<0.5 mm,12.069798433551089,24.058438119143144,7.2
10,<0.5 mm,23.005580820253094,29.91824374107333,8.710715077082433
10,<0.5 mm,10.13772986868984,21.278956434607768,7.2
10,<0.5 mm,24.06707930554958,27.659021346212196,11.099485031579018
10,<0.5 mm,26.62631529019891,29.429091419014405,11.288366995154693
10,<0.5 mm,30.73197348366329,31.94130552077729,13.233059967775052
10,<0.5 mm,8.29757301628089,21.51383695904989,9.73529161152474
10,<0.5 mm,9.369682333170267,21.861292527661007,7.966740787073564
10,<0.5 mm,44.01009769146641,40.89223831519671,13.643243334087998
10,<0.5 mm,17.71528734793408,31.118593092132688,10.278062684405711
10,<0.5 mm,12.13359604312319,25.068862480958,8.423785033248924
10,<0.5 mm,7.893670090284457,21.1,7.2
10,<0.5 mm,15.93935739805142,23.913454371589513,9.83441191784654
10,<0.5 mm,16.361118426244754,22.73754228796951,8.980944805287924
10,<0.5 mm,39.296667153177744,36.31049943703438,14.807297061050711
10,<0.5 mm,4.242973153438506,23.269875315350323,8.512456159376898
10,<0.5 mm,36.07631539380344,34.51992303894455,13.26727866021148
10,<0.5 mm,41.976550738526115,35.62629736626104,15.708416603192452
10,<0.5 mm,6.7965674125850395,21.1,7.2
10,<0.5 mm,36.10267184687482,37.881223426413904,13.878658642347975
10,<0.5 mm,24.77745670712577,30.07636324743806,10.040409052039646
10,<0.5 mm,37.47454213914349,39.86476769300857,14.199973627187596
10,0.5 - 1.0 mm,25.72700624003319,25.608254910542463,11.757446183910481
10,0.5 - 1.0 mm,5.118441576740189,21.4,8.97574538594013
10,0.5 - 1.0 mm,26.37711041124692,30.848730245734703,11.452775852024375
10,0.5 - 1.0 mm,22.05684861356771,26.91365957281687,10.822684458394031
10,0.5 - 1.0 mm,7.387116032466892,21.4,7.563514823677934
10,0.5 - 1.0 mm,44.906696703073216,42.031136743204094,15.5
10,0.5 - 1.0 mm,42.34426596825958,39.201052287580524,14.871657504064121
10,0.5 - 1.0 mm,43.272595933559025,43.303857261465325,14.642874382815114
10,0.5 - 1.0 mm,43.428017196633704,39.20373164360176,14.157006155713676
10,0.5 - 1.0 mm,14.029147151845434,27.214628412408576,8.39610593722146
10,0.5 - 1.0 mm,41.87214566327911,40.10859169257532,14.06481824091227
10,0.5 - 1.0 mm,22.366084138546277,27.88817202068106,9.85784675219975
10,0.5 - 1.0 mm,18.85506754175963,26.39589814942821,9.838039792363713
10,0.5 - 1.0 mm,26.82678735670811,29.708745167112546,12.61118011467641
10,0.5 - 1.0 mm,46.75841163972227,37.637900463176216,14.773647176832347
10,0.5 - 1.0 mm,16.532981752608574,25.84130158740882,8.607974800291801
10,0.5 - 1.0 mm,26.117877022069905,30.72725403866454,11.333174967143355
10,0.5 - 1.0 mm,10.375374372013816,24.26807885595103,8.288415096447334
10,0.5 - 1.0 mm,14.650431946506018,27.174804102946894,9.520717932292904
10,0.5 - 1.0 mm,14.456051935665585,23.214760858359906,10.127076280772421
10,0.5 - 1.0 mm,31.821456546117496,36.1521225423246,14.628058663891455
10,0.5 - 1.0 mm,7.972749882393965,22.076769160067,9.028120471786917
10,0.5 - 1.0 mm,12.206814457593586,24.28207133595147,7.97207656616605
10,0.5 - 1.0 mm,33.81283192106042,36.24759988373139,12.526937500349684
10,0.5 - 1.0 mm,13.96581410870927,22.520591194010116,9.153664656621483
10,>1.0 mm,34.4012604765085,41.42733703085641,12.584730056307256
10,>1.0 mm,10.050921542423703,21.152951336958463,7.528153901285445
10,>1.0 mm,44.68651920425676,45.3383038100685,14.945740214167447
10,>1.0 mm,33.03929802550388,39.53752509794568,13.743491974853733
10,>1.0 mm,27.304625447664286,33.31254465742299,10.795186989101284
10,>1.0 mm,43.47749334994638,46.108522926764365,15.041665064543446
10,>1.0 mm,18.91731080614283,29.648217372407785,8.19663791366342
10,>1.0 mm,43.47285143791339,46.087861053679525,14.605762934279944
10,>1.0 mm,32.24939243078866,38.86742939121433,13.096598286395166
10,>1.0 mm,4.404670271131705,21.94920978260421,7.06
10,>1.0 mm,4.222709689233622,21.681431247528476,7.06
10,>1.0 mm,34.4433886984785,37.83671620258975,13.411493171329044
