pretreatment_time_min,biomass_concentration_pct,enzyme_loading_fpugwis,substrate_loading_wv_pct,cellulose_digestibility_pct,glucose_yield_pct
30,10,50,3,33.35,29
30,20,5,3,37.68,33.07
30,25,5,3,29.41,25.49
60,10,5,3,37.49,29.17
60,20,5,3,33.75,25.48
60,25,5,3,37.82,27.79
90,10,5,3,43.56,29.7
90,20,5,3,38.83,20.03
90,25,5,3,47.38,30.4
150,10,5,3,48.76,25.62
150,20,5,3,45.85,23.09
150,25,5,3,52.64,24.27
30,10,5,5,26,22.91
30,20,5,5,29.36,25.77
30,25,5,5,22.83,19.79
60,10,5,5,29.21,22.72
60,20,5,5,26.4,19.93
60,25,5,5,29.46,21.64
90,10,5,5,33.93,23.13
90,20,5,5,30.34,20.34
90,25,5,5,37.03,23.76
150,10,5,5,38,19.96
150,20,5,5,35.71,17.98
150,25,5,5,40.97,15.89
30,10,5,5,21.23,15.7
30,20,5,5,23.97,21.04
30,25,5,5,18.64,10.16
60,10,5,5,23.85,15.55
60,20,5,5,21.55,10.27
60,25,5,5,24.05,17.67
90,10,5,5,27.71,15.89
90,20,5,5,24.77,10.6
90,25,5,5,30.23,19.39
150,10,5,5,31.02,10.3
150,20,5,5,29.16,14.68
150,25,5,5,33.46,15.43
30,10,15,3,50.62,44.6
30,20,15,3,57.18,50.19
30,25,15,3,44.51,35.58
60,10,15,3,56.88,44.26
60,20,15,3,51.35,35.77
60,25,15,3,57.37,42.15
90,10,15,3,66.09,45.05
90,20,15,3,59.04,39.57
90,25,15,3,72.04,40.23
150,10,15,3,74,35.87
150,20,15,3,69.55,35.02
150,25,15,5,79.82,30.81
30,10,15,5,43.06,37.94
30,20,15,5,48.65,42.7
30,25,15,5,37.94,32.89
60,10,15,5,48.4,37.66
60,20,15,5,43.61,32.92
60,25,15,5,48.82,35.87
90,10,15,5,56.24,38.34
90,20,15,5,50.17,33.62
90,25,15,5,61.21,39.28
150,10,15,5,62.96,33.07
150,20,15,5,59.19,29.8
150,25,15,5,67.95,31.33
30,10,15,8,35.03,30.87
30,20,15,8,39.58,34.74
30,25,15,8,30.87,26.76
60,10,15,8,39.38,30.64
60,20,15,8,35.48,26.79
60,25,15,8,39.72,29.19
90,10,15,8,45.76,31.19
90,20,15,8,40.81,27.35
90,25,15,8,49.8,31.95
150,10,15,8,51.22,26.91
150,20,15,8,48.1,24.25
150,25,15,8,55.25,25.49
30,10,30,3,60.04,52.9
30,20,30,3,67.81,59.53
30,25,30,3,52.79,45.76
60,10,30,3,67.46,52.49
60,20,30,3,60.9,45.95
60,25,30,3,68.04,49.99
90,10,30,3,78.39,53.43
90,20,30,3,70.02,46.93
90,25,30,3,85.44,54.82
150,10,30,3,87.76,46.1
150,20,30,3,82.49,41.53
150,25,30,3,94.67,43.65
30,10,30,5,50.93,44.57
30,20,30,5,57.53,50.5
30,25,30,5,44.87,38.59
60,10,30,5,57.24,44.53
60,20,30,5,51.58,38.94
60,25,30,5,57.74,42.42
90,10,30,5,66.51,45.34
90,20,30,5,59.33,39.76
90,25,30,5,72.39,46.45
150,10,30,5,74.46,39.11
150,20,30,5,70,35.25
150,25,30,5,80.35,37.05
150,10,30,5,41.6,36.65
30,20,30,5,47,41.25
30,25,30,5,36.06,31.75
60,10,30,5,40.76,36.38
60,20,30,5,42.12,31.8
60,25,30,5,47.16,34.65
90,10,30,5,54.33,37.04
90,20,30,5,45.46,32.48
90,25,30,5,59.13,37.94
150,10,30,5,60.52,31.95
150,20,30,5,57.19,28.79
150,25,30,5,65.05,30.27
30,10,60,3,77.51,8.29
30,20,60,3,87.54,76.84
30,25,60,3,65.15,59.07
60,10,60,3,87.09,7.76
60,20,60,3,75.02,59.36
60,25,60,3,87.53,4.54
90,10,60,3,101.19,8.98
90,20,60,3,90.39,0.58
90,25,60,3,100.3,70.77
150,10,60,3,103.29,59.52
150,20,60,3,100.49,53.62
150,25,60,3,102.21,56.35
30,10,60,5,65.08,57.87
30,20,60,5,74.2,5.13
30,25,60,5,57.57,50.16
60,10,60,5,73.52,57.44
60,20,60,5,66.52,50.22
60,25,60,5,74.46,54.71
90,10,60,5,85.78,58.48
90,20,60,5,70.52,51.28
90,25,60,5,93.37,59.91
150,10,60,5,90.03,50.45
150,20,60,5,90.28,45.46
150,25,60,5,103.64,47.79
30,10,60,5,53.67,47.28
30,20,60,5,60.63,53.22
30,25,60,5,47.3,41
60,10,60,5,60.32,46.93
60,20,60,5,54.34,41.03
60,25,60,5,60.85,44.71
90,10,60,5,70.1,47.78
90,20,60,5,62.52,41.9
90,25,60,5,70.28,48.95
150,10,60,5,75.47,41.22
150,20,60,5,73.78,37.15
150,25,60,5,84.69,39.05
